wosdept,realdept
 Dept Elect & Comp Engn,Electrical and Computer Engineering
 Dept Ind & Mfg Syst Engn,Industrial and Manufacturing Systems Engineering
 Dept Mech Engn,Mechanical Engineering
 Dept Geol & Atmospher Sci,Geological and Atmospheric Sciences
 Spanish,World Languages and Cultures
 Business Sch,"Business, Ivy College of"
" Dept Nat Resource Ecol & Management, 339 Sci Hall 2",Natural Resource Ecology and Management
 Dept Math,Mathematics
 Dept Stat,Statistics
"Civil, Construction & Environmental Eng","Civil, Construction and Environmental Engineering "
 Dept Aerosp Engn,Aerospace Engineering
 Biomed Sci,Biomedical Sciences
 Philosophy & Religious Studies,Philosophy & Religious Studies
" Bridge Engn Ctr, 2711 South Loop Dr,Suite 4700",Institute for Transportation
Industrial & Manufacturing Systems Engr,Industrial and Manufacturing Systems Engineering
"Civil, Construction & Environmental Eng","Civil, Construction and Environmental Engineering "
 Dept Food Sci & Human Nutr,Food Science & Human Nutrition
 Dept Agr & Biosyst Engn,Agricultural and Biosystems Engineering
" Dept Civil Construct & Environm Engn, 374 Town Engn Bldg","Civil, Construction and Environmental Engineering "
 Dept Ecol Evolut & Organismal Biol,"Ecology, Evolution & Organismal Biol"
" Coll Vet Med, Dept Biomed Sci",Biomedical Sciences
" Dept Math, 396 Carver Hall",Mathematics
 Dept Chem & Biol Engn,Chemical & Biological Engineering
" Dept Elect Engn, 2215 Coover Hall",Electrical and Computer Engineering
 Dept Hort,Horticulture
 Dept Vet Clin Sci,Veterinary Clinical Sciences
 Dep Agron,Agronomy
" Dept Psychol, W112 Lagomarcino Hall,901 Stange Rd",Psychology
 Dept Kinesiol,Kinesiology
Electrical Engineering,Electrical and Computer Engineering
" Dept Food Sci & Human Nutr, 536 Farm House Ln",Food Science & Human Nutrition
" Dept Agron, 2104 Agronomy Hall,716 Farm House Lane",Agronomy
 Dept Anim Sci,Animal Science
 Dept Psychol,Psychology
" Ctr Nondestruct Evaluat, Dept Ind & Mfg Syst Engn, 3019 Black Engn,2529 Union Dr",Industrial and Manufacturing Systems Engineering
 Dept Philosophy & Religious Studies,Philosophy & Religious Studies
 Dept Polit Sci,Political Science
" Dept Civil Construct & Environm Engn, 2711 South Loop Dr,Suite 4700","Civil, Construction and Environmental Engineering "
" Dept Entomol, 2310 Pammel Dr,Sci Hall 2",Plant Pathology/Entomology/Microbiology
 Dept Nat Resource Ecol & Management,Natural Resource Ecology and Management
" Coll Vet Med, Dept Vet Clin Sci",Veterinary Clinical Sciences
 Roy J Carver Dept Biochem Biophys & Mol Biol,"Biochemistry, Biophysics & Molec Biology"
Biochemistry/Biophysics & Molc Biol-AGLS,"Biochemistry, Biophysics & Molec Biology"
" Ames, IA USA; [Kao, Yu-Hui] Soochow Univ, Dept Sociol, 70 Linhsi Rd, Taipei City 111, Taiwan",Sociology and Criminal Justice
" Ames, IA 50011 USA",No Data
" Ames, IA USA",No Data
" Ames, IA 50010 USA",No Data
Physics & Astronomy,Physics and Astronomy
"Ind & Mfg Syst Engn, 1119 Black Engn,2529 Union Dr",Industrial and Manufacturing Systems Engineering
" Ames, IA USA; [Lee, Xian Yeow; Wang, Yubo] Siemens Technol, Princeton, NJ 08540 USA",No Data
" Midw Grape & Wine Ind Inst, 536 Farm House Lane",Midwest Grape and Wine Industry Institute
"[Campbell, Heather M.; Dieckman, Christopher S.; Teal, Wesley] Iowa State Univ Lib",Iowa State University Library
" Coll Vet Med, Swine Med Educ Ctr",Swine Medicine Education Center
" Ind & Mfg Syst Engn, 1119 Black Engn,2529 Union Dr",Industrial and Manufacturing Systems Engineering
Human Development & Family Studies,Human Development and Family Studies
 Sch Educ,No Data
 402 Catt Hall,No Data
 Dept Agron,Agronomy
 Ctr Agr & Rural Dev,Center for Agricultural and Rural Development
Industrial & Manufacturing Systems Engr,Industrial and Manufacturing Systems Engineering
 Dept Civil Construct & Environm Engn,"Civil, Construction and Environmental Engineering "
" Dept Agr & Biosyst Engn, Elings Hall,3306 Bissell Rd",Agricultural and Biosystems Engineering
 Dept Phys,Physics and Astronomy
" Dept Psychol, W112 Lagomarcino Hall",Psychology
" Ames, IA 50011 USA; [Gupta, Amulya] 2434 Osborn Dr",No Data
" Ctr Nondestruct Evaluat, 1915 Scholl Rd",Center for Nondestructive Evaluation
 Dept Chem,Chemistry
 Vet Diagnost & Prod Anim Med,Veterinary Diagnostic and Production Animal Medicine
 Hist,History
 Ind & Mfg Syst Engn IMSE,Industrial and Manufacturing Systems Engineering
 English,English
" Ecol & Evolutionary Biol Program, 2438 Osborn Dr","Ecology, Evolution & Organismal Biol"
 Chinese,World Languages and Cultures
" Dept Sociol & Criminal Justice, 303c East Hall",Sociology and Criminal Justice
" Dept Polit Sci, 503 Ross Hall,527 Farm House Lane",Political Science
 Ctr Metab Biol,Center for Metabolic Biology
 Ctr Nondestruct Evaluat CNDE,Center for Nondestructive Evaluation
" Dept Mkt, Ivy Coll Business","Business, Ivy College of"
 339 Sci Hall 2,No Data
" Translat Res Network, 103E",No Data
 Dept Biomed Sci,Biomedical Sciences
 Program Speech Commun,No Data
 Dept Mathmat,Mathematics
 Ctr Stat & Applicat Forens Evidence CSAFE,Center for Statistics and Applications in Forensic Evidence
 3004 Black Engn,No Data
 Aerosp Engn,Aerospace Engineering
" Dept Civil Construct & Environm Engn, Chair Geotech Engn, 488 Town Engn Bldg","Civil, Construction and Environmental Engineering "
" Dept Civil Construct Environm Engn, 813 Bissell Rd","Civil, Construction and Environmental Engineering "
" Ctr Food Secur & Publ Hlth, 2160 VMPM",Center for Food Security and Public Health
" Dept Ecol Evolut & Organismal Biol, 360 Bessey Hall,2200 Osbom Dr","Ecology, Evolution & Organismal Biol"
 Ctr Nondestruct Evaluat,Center for Nondestructive Evaluation
" Dept Human Dev & Family Studies, 86 LeBaron",Human Development and Family Studies
" Coll Design, Dept Community & Reg Planning",Community and Regional Planning
" Coll Vet Med, Vet Microbiol & Prevent Med",Veterinary Microbiology and Preventive Medicine
" Inst Transportat InTrans, 2711 S Loop Dr",Institute for Transportation
 Dept Civil Construct & Environm Engn,"Civil, Construction and Environmental Engineering "
" Sch Educ, 901 Stange Rd,Lagomarcino Hall",No Data
 Math Dept,Mathematics
 Dept Entomol,Entomology
" Dept World Languages & Cultures, 3102 Pearson Hall,505 Morrill Rd",World Languages and Cultures
" Translat Res Network, 103E Forker Bldg",No Data
